City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Iberia,US,2021-04-30 20:20:46,29.9502,-91.7507,82.4,69,1,3.44
162,Ahipara,NZ,2021-04-30 20:24:43,-35.1667,173.1667,62.38,68,88,10.63
163,Pouembout,NC,2021-04-30 20:24:43,-21.1333,164.9,69.15,75,65,4.25
164,Urdoma,RU,2021-04-30 20:24:43,61.7533,48.5442,37.54,87,100,8.41
165,Atar,MR,2021-04-30 20:24:44,20.5169,-13.0499,87.87,17,0,9.1
166,Gonzalez,US,2021-04-30 20:24:44,30.5816,-87.2914,78.01,86,100,3.0
167,Nikolskoye,RU,2021-04-30 20:24:44,59.7035,30.7861,39.2,65,0,8.95
168,Cervo,ES,2021-04-30 20:24:44,43.6702,-7.4101,53.01,79,65,7.16
169,Graaff-Reinet,ZA,2021-04-30 20:24:17,-32.2522,24.5308,48.99,74,5,4.45
170,Bosaso,SO,2021-04-30 20:24:45,11.2842,49.1816,85.41,62,54,3.8
171,Kananga,CD,2021-04-30 20:24:45,-5.8958,22.4178,68.68,93,100,3.11
172,San Luis,AR,2021-04-30 20:24:46,-33.295,-66.3356,72.52,31,87,4.76
173,Padre Paraiso,BR,2021-04-30 20:24:46,-17.0742,-41.4844,68.36,77,99,7.29
174,Komsomolskiy,UZ,2021-04-30 20:24:46,40.4272,71.7189,71.6,40,100,6.91
175,Singaraja,ID,2021-04-30 20:20:03,-8.112,115.0882,77.95,76,31,3.4
176,Aykhal,RU,2021-04-30 20:24:47,66.0,111.5,27.68,98,100,4.79
177,Haines Junction,CA,2021-04-30 20:22:02,60.7522,-137.5108,48.2,34,100,12.66
178,Lompoc,US,2021-04-30 20:24:47,34.6391,-120.4579,71.01,67,40,10.36
179,Mizdah,LY,2021-04-30 20:22:56,31.4451,12.9801,89.08,16,100,6.71
180,Maragogi,BR,2021-04-30 20:24:47,-9.0122,-35.2225,78.48,81,100,10.94
181,Valdivia,CL,2021-04-30 20:24:48,-39.8142,-73.2459,60.8,72,90,6.91
182,Tainan,TW,2021-04-30 20:24:48,22.9908,120.2133,68.0,83,75,2.73
183,Lexington,US,2021-04-30 20:24:48,37.9887,-84.4777,72.0,35,40,13.8
184,La Rioja,ES,2021-04-30 20:24:49,42.25,-2.5,50.0,87,90,5.75
185,Westport,US,2021-04-30 20:24:49,41.1415,-73.3579,64.99,39,90,18.41
186,Mahebourg,MU,2021-04-30 20:24:49,-20.4081,57.7,77.0,83,20,12.66
187,Sao Filipe,CV,2021-04-30 20:24:49,14.8961,-24.4956,72.75,76,47,10.22
188,Sorrento,IT,2021-04-30 20:24:50,40.626,14.3744,72.0,46,0,3.2
189,Asfi,MA,2021-04-30 20:24:50,32.2994,-9.2372,61.83,65,4,8.75
190,Castro,BR,2021-04-30 20:24:50,-24.7911,-50.0119,63.93,61,39,7.9
191,Balabac,PH,2021-04-30 20:24:51,7.9868,117.0645,82.0,78,15,9.35
192,Kamennomostskiy,RU,2021-04-30 20:24:51,44.2983,40.1856,52.41,91,11,4.5
193,Tilichiki,RU,2021-04-30 20:24:51,60.4667,166.1,21.22,92,63,9.4
194,Saint-Francois,FR,2021-04-30 20:24:52,46.4154,3.9054,50.0,71,90,5.75
195,North Platte,US,2021-04-30 20:24:52,41.1239,-100.7654,84.2,23,1,10.36
196,Goma,CD,2021-04-30 20:24:52,-1.6792,29.2228,64.78,90,100,2.68
197,Kismayo,SO,2021-04-30 20:24:53,-0.3582,42.5454,82.06,80,64,12.64
198,Shahr-E Babak,IR,2021-04-30 20:24:53,30.1165,55.1186,59.14,56,100,10.04
199,Pochutla,MX,2021-04-30 20:24:53,15.7432,-96.4661,90.0,62,90,11.5
200,Kaitangata,NZ,2021-04-30 20:24:53,-46.2817,169.8464,45.0,84,57,4.0
201,Japura,ID,2021-04-30 20:24:54,-0.3167,102.35,71.06,95,100,1.36
202,Grindavik,IS,2021-04-30 20:24:54,63.8424,-22.4338,37.4,70,40,24.16
203,Sistranda,NO,2021-04-30 20:24:54,63.7256,8.834,37.4,81,75,3.44
204,Medea,DZ,2021-04-30 20:24:55,36.2642,2.7539,64.4,68,0,4.61
205,Saint-Philippe,RE,2021-04-30 20:24:55,-21.3585,55.7679,75.2,83,40,6.91
206,Bandarbeyla,SO,2021-04-30 20:20:29,9.4942,50.8122,83.1,75,79,7.34
207,Tura,IN,2021-04-30 20:23:58,25.5198,90.2201,75.85,42,24,4.52
208,Victoria,HK,2021-04-30 20:20:08,22.2855,114.1577,77.0,88,100,2.24
209,Takestan,IR,2021-04-30 20:24:56,36.0696,49.6959,59.0,63,0,7.25
